01002     000123      6     A
01005     000120      2     Z
01001     000121      3     Z
01044     002381      1     B
01019     002913      2     A
01008     002513      1     Z
01023     000125      4     D
01005     000121      2     Z
01088     002637      1     C
01001     003201      2     Z
01005     000121      2     A
01001     003101      1     Z
01015     002442      1     C
01008     001578      6     E
01001     000155      8     Z
01005     002638      1     A
01015     003575      1     Z
01019     001345      2     E
